测点编号,测点位置,测量日期,相对BM高程m,管底或沟底高程m,到边界水平距离m,权属或接入条件,照片编号,备注
BM01,固定基准点,,,,,,,记录永久参照物不得随施工移除
RD01,西侧道路北点,,,,,,,路面和沟底分别测量
RD02,西侧道路中点及计划车门,,,,,,,记录道路净宽路拱和历史积水线
RD03,西侧道路南点,,,,,,,道路水从北向南流
ST01,宅地西北角,,,,,,,
ST02,宅地东北角,,,,,,,
ST03,宅地东南角,,,,,,,约低点但不等于合法排口
ST04,宅地西南角,,,,,,,
BL01,房屋西北角,,,,,,,
BL02,房屋东北角,,,,,,,
BL03,房屋东南角,,,,,,,
BL04,房屋西南角,,,,,,,
EN01,中央入户口外地坪,,,,,,,复核道路到门口总高差
OUT01,合法雨水接入口,,,,,,,必须记录管底高程及允许接入条件
OUT02,合法污水接入口或处理设施,,,,,,,记录清掏通路与尾水去向
NB01,北侧邻房墙脚及窗距,,,,,,,同时测邻房高度和屋面落水位置
NB02,东侧邻房墙脚,,,,,,,确认侧窗与施工检修空间
NB03,南侧邻地及东南门通道,,,,,,,确认是否具备合法通路
