floor,wall,external,reference_length_m,thickness_m,gross_area_m2,openings_area_m2,note
1,South facade,True,12.6,0.24,40.32,18.814,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Side exterior,True,12.5,0.24,40.0,3.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Side exterior,True,12.5,0.24,40.0,3.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,North facade,True,12.6,0.24,40.32,13.632,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,North stair side,False,5.2,0.16,16.64,2.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,North stair side,False,5.2,0.16,16.64,2.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,North stair south enclosure,False,2.7,0.16,8.64,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Central south divider,False,5.65,0.16,18.08,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Central divider above connection,False,0.15,0.16,0.48,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,MERGE_INFILL,False,1.5,0.16,4.8,3.6,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Kitchen south partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Kitchen bathroom partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Service corridor side,False,4.0,0.16,12.8,4.4,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Kitchen south partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Kitchen bathroom partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,Service corridor side,False,4.0,0.16,12.8,4.4,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,D guest south partition,False,2.9,0.16,9.28,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,D guest inward partition,False,3.3,0.16,10.56,2.2,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,D guest south partition,False,2.9,0.16,9.28,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
1,D guest inward partition,False,3.3,0.16,10.56,2.2,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,South facade,True,12.6,0.24,40.32,18.142,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Side exterior,True,12.5,0.24,40.0,3.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Side exterior,True,12.5,0.24,40.0,3.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,North facade,True,12.6,0.24,40.32,12.462,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,North stair side,False,5.2,0.16,16.64,2.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,North stair side,False,5.2,0.16,16.64,2.362,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,North stair south enclosure,False,2.7,0.16,8.64,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Central south divider,False,5.65,0.16,18.08,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Central divider above connection,False,0.15,0.16,0.48,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,MERGE_INFILL,False,1.5,0.16,4.8,3.6,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Kitchen south partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Kitchen bathroom partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Service corridor side,False,4.0,0.16,12.8,4.4,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Kitchen south partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Kitchen bathroom partition,False,2.6,0.16,8.32,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,Service corridor side,False,4.0,0.16,12.8,4.4,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,D guest south partition,False,2.9,0.16,9.28,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,D guest inward partition,False,3.3,0.16,10.56,2.2,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,D guest south partition,False,2.9,0.16,9.28,0,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
2,D guest inward partition,False,3.3,0.16,10.56,2.2,参考几何，墙交接重复、梁柱占位与合同计量扣减需最终图纸调整
